2024-06-07 22:14:18.954 [main] INFO  c.zx.xiaohongshu.auth.ThreadPoolTaskExecutorTests - Starting ThreadPoolTaskExecutorTests using Java 17.0.11 with PID 16960 (started by 0 in C:\Users\0\Desktop\大学资料\专业课\小红书项目_springcloud\xiaohongshu_springcloud\xiaohongshu\xiaohongshu-auth)
2024-06-07 22:14:18.958 [main] INFO  c.zx.xiaohongshu.auth.ThreadPoolTaskExecutorTests - The following 1 profile is active: "dev"
2024-06-07 22:14:19.912 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-07 22:14:19.916 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-07 22:14:19.956 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2024-06-07 22:14:21.451 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-06-07 22:14:21.909 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-06-07 22:14:22.332 [main] INFO  c.zx.xiaohongshu.auth.ThreadPoolTaskExecutorTests - Started ThreadPoolTaskExecutorTests in 3.912 seconds (process running for 5.003)
2024-06-07 22:14:22.855 [AuthExecutor-1] INFO  c.zx.xiaohongshu.auth.ThreadPoolTaskExecutorTests - 异步线程中说:专栏
2024-06-07 22:14:22.873 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-06-07 22:14:22.882 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
